"pais","CODIGO_PAIS","REGIAO","nivel_educacional","anos_programando","cargo_atual","anos_usando_ml","SALARIO_ANUAL_USD","linguagens_usadas","bancos_de_dados_usados","ferramentas_bi_usadas"
United States of America,,,Doctoral degree,"20+ years",Data Scientist,Computers/Technology,150000.0,Python;R;SQL,MongoDB,
Nigeria,NGA,Africa,Master’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,3000.0,,,
United States of America,,,Master’s degree,"10-20 years",Data Scientist,Computers/Technology,150000.0,Python;R;SQL,,
Kenya,KEN,Africa,Bachelor’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Online Service/Internet-based Services,25000.0,,,
Canada,CAN,Americas,Master’s degree,"5-10 years",Data Scientist,Accounting/Finance,70000.0,Python;R,,
Colombia,COL,Americas,Master’s degree,"1-3 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Retail/Sales,1000.0,Python;R,,
Singapore,SGP,Asia,Bachelor’s degree,"1-3 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,,Python;Java,,
India,IND,Asia,Master’s degree,"5-10 years",Data Scientist,Computers/Technology,,Python;SQL,,
United States of America,,,Master’s degree,"1-3 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,90000.0,,,
United States of America,,,Bachelor’s degree,I have never written code,Data Administrator,Retail/Sales,60000.0,,,
United States of America,,,Doctoral degree,"1-3 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Manufacturing/Fabrication,125000.0,,,
United States of America,,,Master’s degree,"5-10 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,20000.0,Python;SQL,,
Israel,ISR,Asia,Bachelor’s degree,< 1 years,Data Scientist,Computers/Technology,0.0,Python,,
India,IND,Asia,I prefer not to answer,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",,,SQL,,
Other,,,Master’s degree,"5-10 years",Data Scientist,Broadcasting/Communications,30000.0,Python;SQL;C++;Bash,SQLite;MongoDB,Tableau
Romania,ROU,Europe,Doctoral degree,"3-5 years",Data Scientist,Manufacturing/Fabrication,50000.0,Python;SQL,SQLite,
India,IND,Asia,Master’s degree,"1-3 years",Data Scientist,Other,0.0,Python,,
Ukraine,UKR,Europe,I prefer not to answer,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Shipping/Transportation,,,,
Kenya,KEN,Africa,Bachelor’s degree,"1-3 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Non-profit/Service,10000.0,Python;R;SQL,SQLite;MongoDB,
United Arab Emirates,ARE,Asia,Master’s degree,"10-20 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,60000.0,SQL,,
India,IND,Asia,Bachelor’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Retail/Sales,0.0,,,
Netherlands,NLD,Europe,Master’s degree,"1-3 years",Data Scientist,Other,40000.0,Python;SQL,,
United States of America,,,Master’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",,,,,
United States of America,,,Master’s degree,"5-10 years",Data Scientist,Medical/Pharmaceutical,125000.0,Python;SQL,SQLite,
Indonesia,IDN,Asia,No formal education past high school,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Retail/Sales,0.0,,,
India,IND,Asia,Bachelor’s degree,"1-3 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,1000.0,Python,,
Other,,,Doctoral degree,"5-10 years",Data Scientist,Other,2000.0,Python;SQL;Java,,
Spain,ESP,Europe,Master’s degree,"1-3 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,20000.0,Python;SQL;Bash,,
India,IND,Asia,Bachelor’s degree,"5-10 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Online Service/Internet-based Services,1000.0,Python;SQL;C++;Java,,
India,IND,Asia,Master’s degree,I have never written code,Data Scientist,Computers/Technology,5000.0,,,
India,IND,Asia,Master’s degree,"1-3 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,15000.0,Python;SQL,,Qlik Sense
France,FRA,Europe,Doctoral degree,"1-3 years",Data Scientist,Energy/Mining,50000.0,Python;SQL;Bash,,
United States of America,,,Master’s degree,"10-20 years",Data Scientist,Insurance/Risk Assessment,100000.0,Python;R;SQL,,
India,IND,Asia,Master’s degree,< 1 years,Data Scientist,Computers/Technology,0.0,SQL;C;C++,,
United Kingdom of Great Britain and Northern Ireland,,,Doctoral degree,"5-10 years",Data Scientist,Marketing/CRM,40000.0,Python;R;SQL,,
Turkey,TUR,Asia,Doctoral degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Academics/Education,3000.0,,,
Singapore,SGP,Asia,Master’s degree,"5-10 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,15000.0,SQL,,
United States of America,,,Bachelor’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,90000.0,,,
Nigeria,NGA,Africa,Master’s degree,"1-3 years",Data Scientist,Online Service/Internet-based Services,3000.0,Python;SQL,PostgreSQL;SQLite;Snowflake,Qlik Sense
United States of America,,,Doctoral degree,"3-5 years",Data Scientist,Academics/Education,10000.0,Python;R;Bash;MATLAB,,
United States of America,,,Master’s degree,"10-20 years",Data Scientist,Marketing/CRM,80000.0,Python;R;SQL,,
Czech Republic,,,Master’s degree,"3-5 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,5000.0,Python;SQL,,
Other,,,Bachelor’s degree,"5-10 years",Data Engineer,Computers/Technology,,Python;SQL;Bash,,
United Kingdom of Great Britain and Northern Ireland,,,Master’s degree,"20+ years",Data Scientist,Computers/Technology,100000.0,Python,,
Nigeria,NGA,Africa,Doctoral degree,< 1 years,Data Scientist,Academics/Education,,Python,,
Indonesia,IDN,Asia,Master’s degree,"1-3 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Manufacturing/Fabrication,0.0,Python;R;SQL,,
Kenya,KEN,Africa,Bachelor’s degree,"1-3 years",Data Scientist,Computers/Technology,0.0,Python;Javascript,MySQL,
Argentina,ARG,Americas,Master’s degree,"10-20 years",Data Scientist,Accounting/Finance,40000.0,Python,,
United States of America,,,Doctoral degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Other,70000.0,,,
United States of America,,,Master’s degree,"3-5 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Manufacturing/Fabrication,,Python;R;SQL;C#,,
India,IND,Asia,Bachelor’s degree,"1-3 years",Data Scientist,Marketing/CRM,,Python;SQL,,
Australia,AUS,Oceania,Master’s degree,"3-5 years",Data Scientist,Insurance/Risk Assessment,50000.0,Python;SQL,SQLite;Snowflake,
United States of America,,,Bachelor’s degree,"20+ years",Data Scientist,Insurance/Risk Assessment,150000.0,Python;SQL,,
Turkey,TUR,Asia,Bachelor’s degree,"1-3 years",Data Scientist,Computers/Technology,,Python;R;SQL;Javascript,,
Other,,,I prefer not to answer,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Online Service/Internet-based Services,1000.0,Python,,
India,IND,Asia,Bachelor’s degree,"1-3 years",Data Scientist,Retail/Sales,10000.0,Python;SQL,,
United States of America,,,Master’s degree,"3-5 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Energy/Mining,90000.0,Python;R;SQL;C#;Bash,MySQL,
India,IND,Asia,I prefer not to answer,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,0.0,Python,,
India,IND,Asia,Bachelor’s degree,< 1 years,Data Scientist,Academics/Education,0.0,Python,,
India,IND,Asia,I prefer not to answer,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Insurance/Risk Assessment,,,,
India,IND,Asia,Master’s degree,"3-5 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Marketing/CRM,,Python,,
India,IND,Asia,Bachelor’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,1000.0,,,
Russia,RUS,Europe,Some college/university study without earning a bachelor’s degree,< 1 years,Data Scientist,Computers/Technology,,SQL,,
United States of America,,,Master’s degree,"5-10 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Marketing/CRM,125000.0,Python;R;SQL,,
Indonesia,IDN,Asia,Bachelor’s degree,"3-5 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Shipping/Transportation,15000.0,Python;SQL,,
United States of America,,,Master’s degree,"5-10 years",Data Scientist,Computers/Technology,250000.0,Python;SQL,,
Italy,ITA,Europe,Doctoral degree,"5-10 years",Data Scientist,Computers/Technology,40000.0,Python;SQL;Bash,MySQL;SQLite,
India,IND,Asia,Master’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Other,0.0,Python;R;C;Java,,
Other,,,Some college/university study without earning a bachelor’s degree,I have never written code,Data Scientist,Broadcasting/Communications,250000.0,,,
India,IND,Asia,Master’s degree,"5-10 years",Data Scientist,Computers/Technology,0.0,Python;R,,
United States of America,,,Bachelor’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Government/Public Service,70000.0,SQL,,
Japan,JPN,Asia,I prefer not to answer,"20+ years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,4000.0,,,
India,IND,Asia,Bachelor’s degree,"10-20 years",Data Scientist,Computers/Technology,40000.0,Python;R;Javascript,MongoDB,
Colombia,COL,Americas,Doctoral degree,"20+ years",Data Scientist,Computers/Technology,20000.0,R;Bash,MongoDB;Snowflake,
Brazil,BRA,Americas,Master’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Marketing/CRM,0.0,,,
India,IND,Asia,Master’s degree,"1-3 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,,Python;R;SQL,,
India,IND,Asia,Doctoral degree,"5-10 years",Data Engineer,Computers/Technology,15000.0,Python;SQL;C;Java;Bash,MySQL;PostgreSQL,
India,IND,Asia,I prefer not to answer,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Academics/Education,4000.0,Python;SQL,SQLite;Oracle Database,
India,IND,Asia,Bachelor’s degree,I have never written code,Data Scientist,Government/Public Service,10000.0,,,
Ireland,IRL,Europe,Master’s degree,"1-3 years",Data Scientist,Shipping/Transportation,60000.0,Python;R,,
Other,,,I prefer not to answer,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Manufacturing/Fabrication,15000.0,Python;SQL,MongoDB,
United States of America,,,Bachelor’s degree,"20+ years",Data Engineer,Academics/Education,90000.0,Python;R;SQL;Bash,,
France,FRA,Europe,Bachelor’s degree,"1-3 years",Data Scientist,Medical/Pharmaceutical,,Python;R;SQL;MATLAB,,Google Data Studio
India,IND,Asia,Master’s degree,"5-10 years",Data Scientist,Academics/Education,15000.0,Python;C++,MongoDB;Snowflake,
United Kingdom of Great Britain and Northern Ireland,,,Doctoral degree,"10-20 years",Data Scientist,Medical/Pharmaceutical,70000.0,R;Bash,MongoDB;Snowflake,
Tunisia,TUN,Africa,I prefer not to answer,"5-10 years",Data Scientist,Computers/Technology,10000.0,Python;R,,
"Iran, Islamic Republic of...",,,Master’s degree,"1-3 years",Data Scientist,Computers/Technology,,Python;SQL,,
China,CHN,Asia,Doctoral degree,"5-10 years",Data Scientist,Retail/Sales,15000.0,Python;Java,Snowflake,Microsoft Power BI
United States of America,,,Master’s degree,"1-3 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Academics/Education,30000.0,,,
United States of America,,,Doctoral degree,"10-20 years",Data Scientist,Manufacturing/Fabrication,100000.0,Python,,
United States of America,,,Bachelor’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Government/Public Service,50000.0,,,
United Arab Emirates,ARE,Asia,Doctoral degree,"10-20 years",Data Scientist,Academics/Education,2000.0,Python;R;SQL;Java;MATLAB,PostgreSQL,Google Data Studio
United Kingdom of Great Britain and Northern Ireland,,,Some college/university study without earning a bachelor’s degree,"1-3 years",Data Administrator,Non-profit/Service,,,,
Other,,,Master’s degree,"1-3 years",Data Scientist,Medical/Pharmaceutical,10000.0,Python;R;SQL;Javascript,MySQL;Oracle Database;MongoDB;Snowflake,
Philippines,PHL,Asia,Bachelor’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Government/Public Service,1000.0,SQL;C++;Java;Javascript,,
India,IND,Asia,Bachelor’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Marketing/CRM,1000.0,,,
India,IND,Asia,Master’s degree,"1-3 years",Data Scientist,Insurance/Risk Assessment,15000.0,Python;SQL,MySQL;Snowflake,
Egypt,EGY,Africa,Bachelor’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Other,1000.0,Python,,
India,IND,Asia,Bachelor’s degree,"1-3 years",Data Scientist,Online Service/Internet-based Services,7500.0,Python;SQL,SQLite,
United Kingdom of Great Britain and Northern Ireland,,,Master’s degree,"5-10 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Insurance/Risk Assessment,70000.0,Python;SQL,SQLite,
India,IND,Asia,Master’s degree,"5-10 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,,SQL,,
India,IND,Asia,I prefer not to answer,"1-3 years",Data Scientist,Academics/Education,20000.0,Python;SQL;C;C++,,
United States of America,,,Master’s degree,"1-3 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,90000.0,Python;R;Javascript,,
India,IND,Asia,Master’s degree,"1-3 years",Data Engineer,Computers/Technology,,Python;SQL;Javascript,,
Philippines,PHL,Asia,Bachelor’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,0.0,,,
Other,,,Master’s degree,"10-20 years",Data Engineer,Marketing/CRM,60000.0,Python;SQL;Bash,SQLite;MongoDB,
India,IND,Asia,Bachelor’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,10000.0,Python;SQL,,
United States of America,,,Master’s degree,"3-5 years",Data Scientist,Other,150000.0,Python;SQL,,
United States of America,,,Master’s degree,"10-20 years",Data Engineer,Accounting/Finance,150000.0,,,
Nigeria,NGA,Africa,Master’s degree,"5-10 years",Data Engineer,Computers/Technology,0.0,Python;R;SQL;Javascript;Bash;MATLAB,,
India,IND,Asia,Bachelor’s degree,"3-5 years",Data Engineer,Other,7500.0,Python;MATLAB,SQLite,
United States of America,,,Master’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Other,80000.0,Python;R;SQL,,
India,IND,Asia,Bachelor’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Manufacturing/Fabrication,7500.0,,,
United Kingdom of Great Britain and Northern Ireland,,,Doctoral degree,"5-10 years",Data Scientist,Manufacturing/Fabrication,100000.0,Python;SQL,PostgreSQL;SQLite,Google Data Studio;Qlik Sense
United States of America,,,Master’s degree,"1-3 years",Data Engineer,Insurance/Risk Assessment,60000.0,Python;R;SQL,PostgreSQL,
India,IND,Asia,Bachelor’s degree,< 1 years,Data Engineer,Accounting/Finance,,Python;SQL;Java,,
India,IND,Asia,Bachelor’s degree,"3-5 years",Data Engineer,Non-profit/Service,0.0,Python;SQL,,
Indonesia,IDN,Asia,Bachelor’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Marketing/CRM,1000.0,Python;SQL,,
India,IND,Asia,Bachelor’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Marketing/CRM,,Python;SQL;MATLAB,,
United States of America,,,Bachelor’s degree,"5-10 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Medical/Pharmaceutical,100000.0,Python;R;SQL;Javascript,PostgreSQL;SQLite;Oracle Database,Tableau;Qlik Sense
India,IND,Asia,Bachelor’s degree,"3-5 years",Data Scientist,Other,0.0,Python;R,,
Malaysia,MYS,Asia,Master’s degree,"3-5 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Government/Public Service,0.0,Python;SQL,,
India,IND,Asia,Master’s degree,"1-3 years",Data Scientist,Computers/Technology,0.0,Python;SQL;C;C++,,
Taiwan,TWN,Asia,Master’s degree,"1-3 years",Data Scientist,Accounting/Finance,4000.0,Python,,
United States of America,,,Some college/university study without earning a bachelor’s degree,"1-3 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Retail/Sales,40000.0,Python;SQL,SQLite,
Taiwan,TWN,Asia,I prefer not to answer,< 1 years,Data Engineer,Computers/Technology,,Python;SQL,,
United States of America,,,Master’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,0.0,R;SQL,,
Poland,POL,Europe,Master’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Broadcasting/Communications,10000.0,Python;R;SQL;Javascript,MongoDB,
India,IND,Asia,Bachelor’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,5000.0,Python,,
India,IND,Asia,Bachelor’s degree,"3-5 years",Data Scientist,Medical/Pharmaceutical,25000.0,Python;SQL,SQLite,
Taiwan,TWN,Asia,Professional doctorate,"10-20 years",Data Scientist,Medical/Pharmaceutical,3000.0,Python;R;SQL;C#;Java;PHP,,Qlik Sense
Brazil,BRA,Americas,I prefer not to answer,I have never written code,Data Engineer,Energy/Mining,0.0,,,
United States of America,,,Bachelor’s degree,"3-5 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,100000.0,SQL,MySQL;PostgreSQL,
United States of America,,,Master’s degree,"3-5 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Academics/Education,100000.0,Python;SQL,,
India,IND,Asia,Master’s degree,"1-3 years",Data Scientist,Computers/Technology,5000.0,Python;SQL,PostgreSQL,
Argentina,ARG,Americas,Master’s degree,"1-3 years",Data Scientist,Online Service/Internet-based Services,,Python;SQL;C#;Java,,
Russia,RUS,Europe,Bachelor’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,30000.0,Python;R;SQL;MATLAB;Julia,,
Other,,,Master’s degree,"1-3 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,7500.0,Python;SQL,,
Brazil,BRA,Americas,Some college/university study without earning a bachelor’s degree,"5-10 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Academics/Education,15000.0,Python;SQL;C#;PHP,,
Turkey,TUR,Asia,Master’s degree,"1-3 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Non-profit/Service,25000.0,Python,SQLite,Tableau
Nigeria,NGA,Africa,Bachelor’s degree,"1-3 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,0.0,Python;SQL;Javascript;MATLAB,MySQL;PostgreSQL,Google Data Studio;Qlik Sense
Italy,ITA,Europe,Master’s degree,< 1 years,Data Administrator,Academics/Education,40000.0,Python;R;Javascript;PHP,,
India,IND,Asia,Bachelor’s degree,"1-3 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,5000.0,Python;SQL,,
India,IND,Asia,Master’s degree,"10-20 years",Data Scientist,Computers/Technology,90000.0,Python;R;SQL;C#,,
Nigeria,NGA,Africa,Master’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Non-profit/Service,0.0,Python,,
United States of America,,,Master’s degree,"3-5 years",Data Scientist,Computers/Technology,100000.0,Python;R,SQLite,
United States of America,,,Bachelor’s degree,"1-3 years",Data Scientist,Government/Public Service,,Python;SQL,,
India,IND,Asia,Master’s degree,"3-5 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,0.0,Python;SQL;C,,
Japan,JPN,Asia,Doctoral degree,"3-5 years",Data Scientist,Computers/Technology,1000.0,Python,SQLite;MongoDB,
Singapore,SGP,Asia,Master’s degree,"5-10 years",Data Scientist,Insurance/Risk Assessment,5000.0,Python;Javascript,SQLite,
Other,,,Master’s degree,"1-3 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Manufacturing/Fabrication,30000.0,Python,,
India,IND,Asia,Bachelor’s degree,"10-20 years",Data Engineer,Retail/Sales,15000.0,Python;SQL,,
India,IND,Asia,Master’s degree,"1-3 years",Data Engineer,Computers/Technology,0.0,Python,SQLite;MongoDB,Google Data Studio
India,IND,Asia,Bachelor’s degree,"1-3 years",Data Scientist,Medical/Pharmaceutical,7500.0,Python;R;SQL;Javascript,SQLite,
Pakistan,PAK,Asia,Master’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Other,,,,
United States of America,,,Master’s degree,"3-5 years",Data Administrator,Manufacturing/Fabrication,100000.0,SQL,,
United States of America,,,Bachelor’s degree,"5-10 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Marketing/CRM,60000.0,Python;R;Java,,
India,IND,Asia,Master’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Other,3000.0,,,
Nigeria,NGA,Africa,Bachelor’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Government/Public Service,,,,
South Africa,ZAF,Africa,Bachelor’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,7500.0,,,
India,IND,Asia,Bachelor’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Manufacturing/Fabrication,0.0,,,
